"","gene","B cells","ILC","Megakaryocytes/platelets","Monocytes","T cells"
"243","AD000671.6",0,0,0,0,0.0787039609403856
"244","ADA",0,0.118153663020114,0,2.21391109283272,0.214324560375697
"245","ADAL",0,0,0,0,0.241032937015578
"246","ADAM10",0.00025272294140181,0.237832535345558,0.202507622447523,0.927947379692554,3.81499492872338
"247","ADAM15",2.76580376541888,0.243715034546854,0,0.972735479062521,3.80459474073429
"248","ADAM17",2.11978220929805,0.451595671215694,0,2.97023967546721,0.0334414852021668
"249","ADAM19",0.0662325937273708,0,0,7.65198755650931,0.5046899911524
"250","ADAM22",0,0,0,0,3.83672841442654
"251","ADAM23",0,0,0,0,10.7970567629923
"252","ADAM28",1.55403421048034,0,0,1.43368599381166,0
"253","ADAM8",0.0686308164108498,0.473165103493411,0,0.462545487894002,0.0457714875273156
"254","ADAM9",0,0,0,1.70349689596042,7.88227777347525
"255","ADAMTS10",0,0.67078299159248,0,0,3.7715094533552
"256","ADAMTS2",0,0,0,60.653090179778,0
"257","ADAMTS6",0,0,0,0,4.96018793406047
"258","ADAMTSL4",0,0,0,0.331079681970087,0
"259","ADAMTSL5",0,0,0,0,0.0824840784003579
"260","ADAP1",0,0.0195332135491653,0,0.0055693747849124,0.118431253697745
"261","ADAP2",0,0,0,0.464400325064186,0
"262","ADAR",0.115678705709469,0.0794556417231673,0,0.261311286569524,1.42804536181663
"263","ADARB1",0.0239062969666274,0,0,0,0.0163253868723358
"264","ADAT1",0,0,0,0.0065747673681883,0.90638264695843
"265","ADAT2",0,0,0,0,1.37594276843183
"266","ADAT3",0,0,0,0,0.430488803567679
"267","ADCK1",0,0,0,1.56430525937505,6.13838554638857
"268","ADCK2",0,0,0,0.759490388722972,0.405434673425788
"269","ADCK3",0.106709061238326,0.0264471651200769,0,1.92727209081882,0.998323177003328
"270","ADCK4",0,0.0657207919914525,0,3.24748844478315,0.598911406112969
"271","ADCK5",0,0,0,1.89613275088117,1.05114086847888
"272","ADCY3",0,0,0,0,3.10589128595063
"273","ADCY4",0,0,0,3.37472397830886,0
"274","ADCY7",0.702315993585879,0.371745922534738,0,2.80891755506769,0.909074361725833
"275","ADCY9",0,0,0,0.812137769835544,0.515145309219145
"276","ADD1",1.85006098261964,1.79145472450656,0,1.29173001310065,0.89167399197668
"277","ADD3",0.0463097726757417,2.57576541651989,1.91547160622629,0.0225076779074551,0.0845140800304954
"278","ADGRE1",0,0,0,7.10024667668598,2.70961023065315
"279","ADGRE2",0,0,0,0.8748086539816,0
"280","ADGRE3",0,0,0,2.33798477214726,0
"281","ADGRE5",4.99152045655793,3.99374366937145,0,3.81467397245059,2.80724758167623
"282","ADGRG1",0,0.137306112253761,0,0,0.110155209109354
"283","ADGRG5",0,5.5004764302984,0,0,0.0203162777124676
"284","ADGRL1",0,0,0,0,1.08550625335281
"285","ADH5",6.46312861216747,1.51387500041873,0,0.63018924790268,0.155837433632538
"286","ADHFE1",0,0.0195495546833511,0,0,1.64446974027449
"287","ADI1",0.00207340181239945,1.32223365906377,0.780048135533241,0.268229760241455,0.137243030658055
"288","ADIPOR1",0.647686733134306,6.09269517722094,5.17703324427588,0.771755267035871,3.01195099242714
"289","ADIPOR2",0.14346436663471,8.53946771814693,0,6.64837947883421,0.704574751712385
"290","ADK",0.533784212174123,0.0287844297779173,0,5.82445729067133,1.57947317719274
"291","ADM",0,0,0,4.56771463967679,0
"292","ADNP",0.00682494441882425,0.953471898495765,0,0.959320952220444,0.41596726286841
"293","ADNP2",0,1.9858159328762,0,10.5476903024987,6.39738618945449
"294","ADO",0,0,0,1.64969158623294,0.401096949939802
"295","ADORA2A",0,0,0,0,0.85705541376978
"296","ADPGK",0.00274059101885933,1.96659453582116,0,1.69956025193604,1.31042695181526
"297","ADPRH",0,0,0,2.36291486795866,0
"298","ADPRHL2",4.45112956551384,2.07246206565109,0,0.590947025977404,3.08011833946287
"299","ADPRM",0.132181718977688,0,0,0.487720276619197,0.837882578945801
"300","ADRB2",0,0.000180783227883981,0,0.601941873356301,2.40130511049155
"301","ADRBK1",0.00539532204023433,0.00199692456795275,0,2.06430457140473,0.00421721972192282
"302","ADRBK2",0.694424542517828,0,0,1.24265221280818,0.146012771622731
"303","ADRM1",1.75247329049691,0.307549344919069,4.77981363534017,1.32878221789556,1.6698227328671
"304","ADSL",1.96233607504496,0.0709903732482035,0,1.52555792346095,0.296859770137844
"305","ADSS",0.066249771309663,1.15374093429368,0,0.283575379812107,0.120433766583831
"306","ADSSL1",0,0,0,0,0.00226184307101415
"307","ADTRP",0,0,0,0,3.49584679517205
"308","AEBP1",0,0,0,0,2.15091666814269
"309","AEBP2",4.52330579383105,0.473795518385354,0,0.446456759028709,0.0149392293406027
"310","AEN",0.830426392793396,0.0565759694272382,0,3.43319385263721,0.613070733007217
"311","AES",0.302046484193902,0.0505081645737143,0,0.0126398712369733,0.722214271989183
"312","AF131217.1",0,1.50101876217703,0,0,10.747800415648
"313","AF213884.2",0,0,0,8.75333550556187,1.05152591500162
"314","AFAP1",0,0,0,0,0.432692387633274
"315","AFAP1L2",0,0,0,0,0.583138099481228
"316","AFF1",2.20927064194058,1.9829511977787,0,2.87969073973374,0.0649995454358562
"317","AFF3",0.212528095928464,0,0,0,2.48598171727512
"318","AFF4",2.2643200153733,0.424040972844354,0,0.84247123334638,1.88972242160483
"319","AFG3L2",0.704900656946262,0.121979507001549,0,0.404654877836891,0.561350134406502
"320","AFMID",0,0,0,0.227111396166841,0.0878959194332647
"321","AFTPH",7.07885962766557,3.72435806785806,0,1.57229654023844,0.155679681381029
"322","AGA",2.96549593388462,0.273673450719838,0,0.0276846052742487,0.325137238382411
"323","AGAP1",0,0,0,0,0.371071507741561
"324","AGAP2",0,0.0126170428011257,0,2.99908977765736,2.57076456650703
"325","AGAP3",0,0,0,0.000899195562184282,0.317383031775924
"326","AGAP4",0,0,0,0,0.0167422640708054
"327","AGAP6",0,0,0,0.403231004925645,1.48364701024631
"328","AGAP9",0,0,0,0,0.00108237586829764
"329","AGBL2",0,0,0,0,0.329552743227858
"330","AGBL3",0,0,0,0,2.17653678937276
"331","AGBL5",0,0,0,2.30665195066243,0.168814884794021
"332","AGER",0,0,0,1.46004141697933,0.012970565299047
"333","AGFG1",0.558209964380941,0.296138365602662,0,10.4519279836537,0.0357561088331005
"334","AGFG2",0,0,0,0,0.00493020676877875
"335","AGGF1",4.5285136199814,0.186046107596793,0,0.0193013926503283,0.295977964047549
"336","AGK",0,0.83109149463181,0,0.00980366535800091,1.37247296092378
"337","AGL",0.0571388744272442,7.0707774993184e-05,0,0.398219641328746,0.300744147394619
"338","AGMAT",0,0,0,0,2.49538487166291
"339","AGO1",0,0.111985635864611,0,5.84146340611202,0.0225540454300228
"340","AGO2",1.86418694027545,1.52568390161468,0,3.80757136982958,2.66477040166845
"341","AGO3",0.000841311386896647,0.0316727329777429,0,0.55047732165187,0.508280520040241
"342","AGO4",0,0.624508810932325,0,0.00857478817800246,4.3374596692267
"343","AGPAT1",0,1.52631875131837,0.00787000731486002,3.34666251893688,1.37293789007166
"344","AGPAT2",1.665825811378,2.22589128563957,0,0.0614593584748177,0.881268129140625
"345","AGPAT3",0,0,0,0.439062931323928,1.00709224506262
"346","AGPAT4",0,1.28360042955122,0,7.09519421025723,0.586777344091531
"347","AGPAT5",1.52550259742209,0.50020479025145,0,0.0146880447335624,1.39144947810877
"348","AGPS",0,2.85106470457517,0,6.24810362162874,1.90533703225123
"349","AGTPBP1",0.912706390193797,0.197167492838105,0,0.150680580784482,0.219595215371015
"350","AGTRAP",0.879267347493981,0.656428643526956,0,3.17598811899057,0.190137157844463
"351","AHCTF1",0,0.20412422955292,0.77819215585923,0.327546588540297,0.108177724794408
"352","AHCY",0.000428351280031736,0.054771335547388,0,11.1348218318457,0.403194999209154
"353","AHCYL1",0,0.115618888238738,0,0.689681339387571,2.260704391138
"354","AHCYL2",0,0,0,1.09184706962841,0.198306389787575
"355","AHDC1",0,0.0945136024884004,0,1.86838334493211,0.392980187327379
"356","AHI1",5.43278619071517,0.665790756416142,0,0,4.79019767800595
"357","AHNAK",0.000174596366001373,0.643894612022484,0,1.03208496155912,0.0116240500383612
"358","AHR",0,4.4610538134114,0,1.79550995719028,1.8455335443373
"359","AHSA1",1.04206973213965,0.682859477651115,0,1.11021278676895,3.78768364060842
"360","AIDA",0.108918253809233,0.359275546852477,0,0.547752485897078,2.44877874785119
"361","AIF1",1.6391617577207,0.435727499296978,0,0.512816682009771,6.04160808471628
"362","AIFM1",0,0.472644971485998,0,1.67528548628127,0.850191224195504
"363","AIFM3",0,0,0,2.36231771410197,0
"364","AIG1",0,0,0.281578802850484,11.7529626544558,1.72604871304627
"365","AIM1",0.801801722200627,0.503211504219893,0,0.4098335787315,0.0578153759062577
"366","AIM2",0,0,0,12.7489995690127,1.41593968699985
"367","AIMP1",0.394105899736081,0.0168640224271366,0,0.0575937290772391,0.76199947747776
"368","AIMP2",0,0.109383652549992,0,0.105180575023937,0.474337227442769
"369","AIP",0.116758225269684,0.149481937873389,0,0.0557423238313497,0.23845254288005
"370","AK1",0,0,0,0,0.00312388567010867
"371","AK2",1.56671588655415,0.743508494646886,0,0.312963192815228,1.42514524626707
"372","AK3",0.0835912999029658,0.467140532425294,1.73386313424484,1.30136037065451,0.0015695585466044
"373","AK5",0,1.02466154994671,0,0,0.00225858162751079
"374","AK6",0.00991361787318315,0.0307144830863989,0,0.011392516019575,0.402928869850575
"375","AK9",0,0,0,0.87152917932379,0.0402712418479199
"376","AKAP1",0,0,0,0.581472530886836,0.0527579498541648
"377","AKAP10",0.000658133973818166,0.729566143185906,0,0.000221505603920438,0.0296357901819073
"378","AKAP11",0.47950367290997,0.00270726146940878,0,0.798057109522717,0.783664482461354
"379","AKAP13",2.09526700394728,0.0556476900541548,0,2.76632913281325,0.0211495447948223
"380","AKAP17A",0.0137759266917364,0.767756359090063,0,0.167811095157952,2.91488078878483
"381","AKAP2",0,0,0,0,1.04493403641401
"382","AKAP5",0,12.9349607133938,0,0,0.00940923892430794
"383","AKAP7",0,0.485549552394019,0,0.0902509702197655,1.11274496041276
"384","AKAP8",0.121251168809814,2.04163020849549,0,3.01232419154647,1.29214394669701
"385","AKAP8L",1.20522009163356,2.58920807156154,0,1.61021513418936,1.99012610199076
"386","AKAP9",1.71587590013946,1.44942828076366,0,0.167515584263479,1.64668681968092
"387","AKIP1",0,2.61121408145227,1.16227526491518,1.95256126818134,1.59693099093765
"388","AKIRIN1",0.171940583616737,0.238299289662045,0.000958258666693225,5.96621064157916,4.24312652518258
"389","AKIRIN2",0.190041991528108,0.134282318607407,1.20505194940079,0.408397782120584,2.64642652882609
"390","AKNA",0.663726953596945,2.46999027199071,0,0.64435033326386,0.0185257439636491
"391","AKR1A1",0.0496810029317771,0.740536924328562,0,1.13125118065235,1.40252854822831
"392","AKR1B1",2.64322789188386,0.182978178280735,0,2.28063973267674,1.33621656533356
"393","AKR1C3",0,2.55915598713944,0,0,0.261708157864797
"394","AKR7A2",8.84249936140974,3.09654912763662,1.70149581592194,0.161165663679192,0.803866597135864
"395","AKT1",0,0.578474687441389,0,2.09109798285385,0.502521622034641
"396","AKT1S1",0,0.465795495454482,0,0.227461656554256,0.0284902888903403
"397","AKT2",5.23305948424876,3.1882767269548,0,0.000122601910767667,3.5072543314925
"398","AKT3",0,0.0266575155677616,0,15.7098223287554,2.02051886279205
"399","AKTIP",0,0,0,0.320901142130587,0.0259742983427885
"400","AL109767.1",0,0,0,0,1.96632749121646
